name,handle,role,tweet_id,tweet_text,tweet_date,tweet_url
Balen Shah,ShahBalen,"Former Mayor of Kathmandu, structural engineer, political commentator",,,,
Gagan Thapa,thapagk,"Nepali Congress General Secretary, MP",,,,
Rabi Lamichhane,hamrorabi,"RSP Chairperson, ex-Deputy PM and Home Minister",,,,
Swarnim Wagle,SwarnimWagle,"RSP Vice-Chair, economist, MP",,,,
Baburam Bhattarai,brb1954,"Former Prime Minister, Socialist Party leader",,,,
Sher Bahadur Deuba,SherBDeuba,"Former Prime Minister, Nepali Congress President",,,,
KP Sharma Oli,kpsharmaoli,"Former Prime Minister, CPN(UML) leader",,,,
Ram Kumari Jhakri,Jhakri_didi,"Former Minister, CPN(UML) political figure",,,,
Binod Chaudhary,BinodKChaudhary,"MP, industrialist, economic/policy commentator",,,,
Sudheer Sharma,sudheerktm,"Journalist, former editor-in-chief of Kantipur",,,,
Rabindra Mishra,RabindraMishra,"Former head of BBC Nepali, RPP Senior VP",,,,
Kanak Mani Dixit,KanakManiDixit,"Writer, publisher of Himal Khabar Patrika, political/cultural commentator",,,,
Kunda Dixit,kundadixit,"Journalist, Nepali Times",,,,
Narayan Wagle,narayanwagle,"Journalist, novelist, Setopati",,,,
Nirmala Dhakal,Nirmaladhakal44,"Sociologost, Social Media Influencer",,,,
Tanka Dahal,shishirdahal,"Independent political commentator, content creator",,,,
Vijay Kumar Panday,Vijaykumarko,"Writer, TV host, social/political commentator",,,,
Bhusan Dahal,DahalTbd,"Media personality, socio-political dialogue show host",,,,
Mahabir Pun,MahabirPun,"Social activist, rural development advocate, political commentator",,,,
Rishi Dhamala,RishiDhamala,"Former politician, prominent talk-show journalist",,,,
